k,z_lo,z_hi,z_mid,phi,err,R
1,0.000000,0.100000,0.050000,9.51532006e-01,1.73935836e-04,0.00018280
2,0.100000,0.200000,0.150000,8.61174525e-01,3.24422838e-04,0.00037672
3,0.200000,0.300000,0.250000,7.79347458e-01,3.98736656e-04,0.00051163
4,0.300000,0.400000,0.350000,7.05178050e-01,4.42853147e-04,0.00062800
5,0.400000,0.500000,0.450000,6.37713869e-01,4.69402840e-04,0.00073607
6,0.500000,0.600000,0.550000,5.77257944e-01,4.84257028e-04,0.00083889
7,0.600000,0.700000,0.650000,5.22685878e-01,4.90694426e-04,0.00093879
8,0.700000,0.800000,0.750000,4.72619216e-01,4.91216020e-04,0.00103935
9,0.800000,0.900000,0.850000,4.27300532e-01,4.87435680e-04,0.00114073
10,0.900000,1.000000,0.950000,3.86455744e-01,4.80248528e-04,0.00124270
11,1.000000,1.100000,1.050000,3.49639730e-01,4.70679884e-04,0.00134619
12,1.100000,1.200000,1.150000,3.16235454e-01,4.59329509e-04,0.00145249
13,1.200000,1.300000,1.250000,2.86290011e-01,4.46699017e-04,0.00156030
14,1.300000,1.400000,1.350000,2.59066031e-01,4.33171025e-04,0.00167205
15,1.400000,1.500000,1.450000,2.34533992e-01,4.19085335e-04,0.00178689
16,1.500000,1.600000,1.550000,2.12256932e-01,4.04572161e-04,0.00190605
17,1.600000,1.700000,1.650000,1.92022178e-01,3.89793563e-04,0.00202994
18,1.700000,1.800000,1.750000,1.73654171e-01,3.74999447e-04,0.00215946
19,1.800000,1.900000,1.850000,1.57073808e-01,3.60212368e-04,0.00229327
20,1.900000,2.000000,1.950000,1.42142538e-01,3.45821509e-04,0.00243292
